LineId,Date,Time,time_zone,Level,Component,log_tag,Content,EventId,EventTemplate
1,2021-12-20,15:50:35.651,PST,INFO,26127-1,Properties,System Error Log is set to syserrorout.12.20.2021-23.50.34,ae9cea91,System Error Log is set to syserrorout.<*>.<*>.<*>-<*>.<*>.<*>
2,2021-12-20,15:50:35.652,PST,INFO,26127-1,Properties,PERL : /bin/perl,ef3e30f8,PERL : <*><*>
3,2021-12-20,15:50:35.652,PST,INFO,26127-1,Properties,TFA_HOME : /opt/oracle.ahf/tfa,3b808ea7,TFA_HOME : <*><*><*>
4,2021-12-20,15:50:35.652,PST,INFO,26127-1,Properties,tfactl :/opt/oracle.ahf/tfa/bin/tfactl,73e7cd5b,tfactl :<*><*><*><*><*>
5,2021-12-20,15:50:35.652,PST,INFO,26127-1,Properties,Timezone : PST8PDT,3749e79c,Timezone : PST<*>PDT
6,2021-12-20,15:50:35.653,PST,INFO,26127-1,Properties,System TZ : UTC,46bfe1b6,System TZ : UTC
7,2021-12-20,15:50:35.653,PST,INFO,26127-1,Properties,Install Type : TYPICAL,4c9ab8d1,Install Type : TYPICAL
8,2021-12-20,15:50:35.653,PST,INFO,26127-1,Properties,Creating bucket directory: /opt/oracle.ahf/data/den00xrz/tfa/diagnostics_to_collect,2d7b2349,Creating bucket directory: <*><*><*><*><*><*>
9,2021-12-20,15:50:35.667,PST,INFO,26127-1,Properties,Reading port file ....,cc663ea8,Reading port file ....
10,2021-12-20,15:50:35.668,PST,INFO,26127-1,Properties,"Getting available port to use from  5000, 5001, 5002, 5003, 5004, 5005",c55bf808,"Getting available port to use from <*>, <*>, <*>, <*>, <*>, <*>"
11,2021-12-20,15:50:35.672,PST,INFO,26127-1,Properties,Available port : 5000,8cfcab83,Available port : <*>
12,2021-12-20,15:50:35.672,PST,INFO,26127-1,Properties,"port file does not exist, so creating one...",c904790e,"port file does not exist, so creating one..."
13,2021-12-20,15:50:35.672,PST,INFO,26127-1,Properties,Setting port in Global : 5000,90e36378,Setting port in Global : <*>
14,2021-12-20,15:50:35.672,PST,INFO,26127-1,Properties,Writing portMapping to file {den00xrz=5000},a9ff3043,Writing portMapping to file {den<*>xrz=<*>}
15,2021-12-20,15:50:35.687,PST,INFO,26127-1,DirectoryMappings,Start Read directory_patterns.xml,c5f98ce8,Start Read <*>
16,2021-12-20,15:50:35.716,PST,INFO,26127-1,DirectoryMappings,End Read directory_patterns.xml,b7c41658,End Read <*>
17,2021-12-20,15:50:35.717,PST,INFO,26127-1,DirectoryMappings,Start Read components.xml,c5f98ce8,Start Read <*>
18,2021-12-20,15:50:35.735,PST,INFO,26127-1,DirectoryMappings,End Read components.xml,b7c41658,End Read <*>
19,2021-12-20,15:50:35.735,PST,INFO,26127-1,DirectoryMappings,Start setting up array of directoryMappings,46b0c3d6,Start setting up array of directoryMappings
20,2021-12-20,15:50:35.758,PST,INFO,26127-1,DirectoryMappings,Done setting up array of directory mappings,5710391d,Done setting up array of <*> <*>
21,2021-12-20,15:50:35.777,PST,INFO,26127-1,Properties,Node Type : ADE,b4f61e75,Node <*> : <*>
22,2021-12-20,15:50:35.786,PST,INFO,26127-1,RepositoryManager,Configuring Repository and setting it to default values,4e1202ec,Configuring Repository and setting it to default values
23,2021-12-20,15:50:35.786,PST,INFO,26127-1,RepositoryManager,Directory /opt/oracle.ahf/data/repository already exists,48723899,Directory <*><*><*><*>
24,2021-12-20,15:50:35.786,PST,INFO,26127-1,RepositoryManager,Default TFA Repository Location : /opt/oracle.ahf/data/repository,f10b3c5a,Default TFA Repository Location : <*><*><*><*>
25,2021-12-20,15:50:35.791,PST,INFO,26127-1,RepositoryManager,RepositoryManager : Updating repository in config.properties to /opt/oracle.ahf/data/repository,6c132ba8,RepositoryManager : Updating repository in config.properties to <*><*><*><*>
26,2021-12-20,15:50:35.791,PST,INFO,26127-1,Utilities,Updating property repository to value /opt/oracle.ahf/data/repository in config.properties,5f56d871,Updating property repository to value <*><*><*><*>
27,2021-12-20,15:50:35.793,PST,INFO,26127-1,Utilities,Completed updating property repository with status : true,86e6538d,Completed updating property <*> with status : true
28,2021-12-20,15:50:35.794,PST,INFO,26127-1,Properties,Reading cluster metadata from /opt/oracle.ahf/data/den00xrz/tfa/tfa_setup.txt,e220a66f,Reading cluster metadata from <*><*><*><*><*><*>
29,2021-12-20,15:50:35.797,PST,INFO,26127-1,CollectAllDirectories,Start Read collect_all_directories.xml,c5f98ce8,Start Read <*>
30,2021-12-20,15:50:35.801,PST,INFO,26127-1,CollectAllDirectories,End Read All collect_all_directories.xml,7c62e984,End Read All collect<*>directories.xml
31,2021-12-20,15:50:35.803,PST,INFO,26127-1,TFAMain,Hostname : den00xrz,f5093f54,Hostname : den<*>xrz
32,2021-12-20,15:50:35.804,PST,INFO,26127-1,TFAMain,Host IP : 10.88.56.189,a5118c95,Host IP : <*>.<*>.<*>.<*>
33,2021-12-20,15:50:35.804,PST,INFO,26127-1,TFAMain,TFA Version : 21.4.0.0.0,31d0786c,TFA Version : <*>.<*>.<*>.<*>.<*>
34,2021-12-20,15:50:35.804,PST,INFO,26127-1,TFAMain,TFA Build ID : 21400020211220225423,e4cad206,TFA <*> <*> : <*>
35,2021-12-20,15:50:35.804,PST,INFO,26127-1,TFAMain,TFA Build Label : TFA_MAIN_GENERIC_211216.2249,e4cad206,TFA <*> <*> : <*>
36,2021-12-20,15:50:35.805,PST,INFO,26127-1,TFAMain,OS Name : linux,a46841b4,OS <*> : <*>
37,2021-12-20,15:50:35.805,PST,INFO,26127-1,TFAMain,OS Version : 4.1.12-124.56.1.el7uek.x86_64,a46841b4,OS <*> : <*>
38,2021-12-20,15:50:35.805,PST,INFO,26127-1,TFAMain,OS Architecture : amd64,a46841b4,OS <*> : <*>
39,2021-12-20,15:50:35.806,PST,INFO,26127-1,TFAMain,Java Version : 1.8.0_321,8e6f9c63,Java <*> : <*>
40,2021-12-20,15:50:35.806,PST,INFO,26127-1,TFAMain,Java Vendor : Oracle Corporation,9674ca06,Java Vendor : Oracle Corporation
41,2021-12-20,15:50:35.806,PST,INFO,26127-1,TFAMain,Java Home : /opt/oracle.ahf/jre,8e6f9c63,Java <*> : <*>
42,2021-12-20,15:50:35.820,PST,INFO,26127-1,TFAMain,Starting the Connection Acceptor thread,4b168686,Starting the Connection Acceptor thread
43,2021-12-20,15:50:35.822,PST,INFO,26127-1,TFAMain,Starting the Non Root Connection Acceptor thread,a09e78f9,Starting the Non Root Connection Acceptor thread
44,2021-12-20,15:50:35.822,PST,INFO,26127-22,ConnectionAcceptor,Connection Acceptor Thread started,5d0f22bb,Connection Acceptor Thread started
45,2021-12-20,15:50:35.822,PST,INFO,26127-22,ConnectionAcceptor,Setting port in ConnectionAcceptor 5000,f9021f98,Setting port in ConnectionAcceptor <*>
46,2021-12-20,15:50:35.828,PST,INFO,26127-23,NonRootConnectionAcceptor,InetAddress localhost/127.0.0.1,546b61e8,InetAddress localhost<*>
47,2021-12-20,15:50:35.828,PST,INFO,26127-23,NonRootConnectionAcceptor,Local Port 51378,484b6d23,Local Port <*>
48,2021-12-20,15:50:36.154,PST,INFO,26127-22,ConnectionAcceptor,"EnabledProtocol :  TLSv1.3, TLSv1.2",5fe6e6bc,"EnabledProtocol : TLSv<*>.<*>, TLSv<*>.<*>"
