EventId,EventTemplate,Occurrences
ae9cea91,System Error Log is set to syserrorout.<*>.<*>.<*>-<*>.<*>.<*>,3
ef3e30f8,PERL : <*><*>,3
3b808ea7,TFA_HOME : <*><*><*>,3
73e7cd5b,tfactl :<*><*><*><*><*>,3
3749e79c,Timezone : PST<*>PDT,3
46bfe1b6,System TZ : UTC,3
4c9ab8d1,Install Type : TYPICAL,6
2d7b2349,Creating bucket directory: <*><*><*><*><*><*>,3
cc663ea8,Reading port file ....,3
c55bf808,"Getting available port to use from <*>, <*>, <*>, <*>, <*>, <*>",1
8cfcab83,Available port : <*>,1
c904790e,"port file does not exist, so creating one...",1
90e36378,Setting port in Global : <*>,3
a9ff3043,Writing portMapping to file {den<*>xrz=<*>},1
c5f98ce8,Start Read <*>,9
b7c41658,End Read <*>,6
46b0c3d6,Start setting up array of directoryMappings,3
5710391d,Done setting up array of <*> <*>,6
b4f61e75,Node <*> : <*>,13
4e1202ec,Configuring Repository and setting it to default values,1
48723899,Directory <*><*><*><*>,1
f10b3c5a,Default TFA Repository Location : <*><*><*><*>,1
6c132ba8,RepositoryManager : Updating repository in config.properties to <*><*><*><*>,3
5f56d871,Updating property repository to value <*><*><*><*>,3
86e6538d,Completed updating property <*> with status : true,7
e220a66f,Reading cluster metadata from <*><*><*><*><*><*>,3
7c62e984,End Read All collect<*>directories.xml,3
f5093f54,Hostname : den<*>xrz,3
a5118c95,Host IP : <*>.<*>.<*>.<*>,3
31d0786c,TFA Version : <*>.<*>.<*>.<*>.<*>,3
e4cad206,TFA <*> <*> : <*>,9
a46841b4,OS <*> : <*>,12
8e6f9c63,Java <*> : <*>,6
9674ca06,Java Vendor : Oracle Corporation,3
4b168686,Starting the Connection Acceptor thread,3
a09e78f9,Starting the Non Root Connection Acceptor thread,3
5d0f22bb,Connection Acceptor Thread started,3
f9021f98,Setting port in ConnectionAcceptor <*>,3
546b61e8,InetAddress localhost<*>,3
484b6d23,Local Port <*>,3
5fe6e6bc,"EnabledProtocol : TLSv<*>.<*>, TLSv<*>.<*>",6
e9215582,Inet Address : <*>,6
590c12d2,Port : <*>,6
9d073060,Cipher Suite Enabled : TLS<*>SHA<*>,12
3c78f661,Starting the <*> thread...,6
27161f8c,Reading tfa_directories.txt...,3
20f5f451,Successfully added directory : <*>,99
fd7417a8,Creating new Action : <*>,21
0664b4ae,Action persisted : <*> Status : <*>,57
